task_id,homology_config_id,minimum_sequence_identity,minimum_coverage,seed,attempt,derived_seed,objective,feasible,train_sequences,train_positives,train_negatives,train_prevalence,train_size_deviation,train_prevalence_deviation,train_cluster_count,validation_sequences,validation_positives,validation_negatives,validation_prevalence,validation_size_deviation,validation_prevalence_deviation,validation_cluster_count,test_sequences,test_positives,test_negatives,test_prevalence,test_size_deviation,test_prevalence_deviation,test_cluster_count,maximum_split_size_deviation,maximum_prevalence_deviation,minimum_split_sequences,minimum_split_positives,minimum_split_negatives
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,0,46,46,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,302,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,289,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,1,9,1000012,0.002090766548748819,1,31235,24086,7149,0.7711221386265408,9.604702462418734e-06,3.9422073577988215e-05,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,267,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,324,2.2410972412038607e-05,9.198778337149438e-05,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,2,9,2000015,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,287,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,304,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,3,23,3000032,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,328,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,263,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,4,1,4000013,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,269,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,322,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,5,2,5000017,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,320,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,271,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,6,17,6000035,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,288,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,303,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,7,1,7000022,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,286,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,305,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,8,26,8000050,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,299,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,292,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,9,32,9000059,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,271,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,320,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
