task_id,amp_label,class_name,feature_type,feature,n,minimum,maximum,mean,standard_deviation,median,q1,q3,iqr
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_M,10211,0.0,0.2647058823529412,0.01732755384272508,0.02433676864910618,0.0,0.0,0.030303030303030304,0.030303030303030304
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_N,10211,0.0,0.4,0.03808443964505083,0.03807979409171503,0.03225806451612903,0.0,0.06060606060606061,0.06060606060606061
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_P,10211,0.0,0.8181818181818182,0.08646230901433613,0.09548154985526677,0.058823529411764705,0.030303030303030304,0.1,0.0696969696969697
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_Q,10211,0.0,0.7777777777777778,0.07043349132925131,0.12464690606805179,0.02857142857142857,0.0,0.058823529411764705,0.058823529411764705
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_R,10211,0.0,0.4,0.04493858102377771,0.044906075725272006,0.037037037037037035,0.0,0.07042253521126761,0.07042253521126761
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_S,10211,0.0,0.6219512195121951,0.060393061297587536,0.047587821995857114,0.05555555555555555,0.029411764705882353,0.08433734939759036,0.054925584691708
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_T,10211,0.0,0.4117647058823529,0.04400487391328879,0.04129178482147939,0.04,0.0,0.06756756756756757,0.06756756756756757
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_V,10211,0.0,0.4,0.04341032610736526,0.04177334548508343,0.038461538461538464,0.0,0.06666666666666667,0.06666666666666667
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_W,10211,0.0,0.2857142857142857,0.016141187903629596,0.02773800714607395,0.0,0.0,0.025210084033613446,0.025210084033613446
amp_vs_toxic_without_amp_evidence,0,background_negative,amino_acid_composition,aa_fraction_Y,10211,0.0,0.2857142857142857,0.030498753685237783,0.03681211398078658,0.021739130434782608,0.0,0.04828993392926545,0.04828993392926545
amp_vs_toxic_without_amp_evidence,1,amp_positive,physicochemical,net_charge,34410,-19.993,45.99,3.014388782330718,3.98102610779686,2.994,0.758,4.996,4.238
amp_vs_toxic_without_amp_evidence,1,amp_positive,physicochemical,mean_hydrophobicity,34410,-2.5,1.25,-0.041526402084427795,0.35270756132662856,-0.011572727272727273,-0.21698913043478257,0.16796727305154271,0.3849564034863253
amp_vs_toxic_without_amp_evidence,1,amp_positive,physicochemical,charged_residue_proportion,34410,0.0,1.0,0.32669855780850304,0.13762769194435095,0.3225806451612903,0.24242424242424243,0.4,0.1575757575757576
amp_vs_toxic_without_amp_evidence,1,amp_positive,physicochemical,hydrophobic_ratio,34410,0.0,1.0,0.3974467309175847,0.14356540940787263,0.4,0.32075471698113206,0.48484848484848486,0.1640937678673528
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_A,34410,0.0,1.0,0.0689832970736534,0.076635033793388,0.0536313518696069,0.0,0.10126582278481013,0.10126582278481013
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_C,34410,0.0,0.5454545454545454,0.0459001509539162,0.06877834680532424,0.0,0.0,0.08,0.08
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_D,34410,0.0,1.0,0.024614832641064933,0.04129128425795094,0.0,0.0,0.041666666666666664,0.041666666666666664
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_E,34410,0.0,1.0,0.03332799208605326,0.05212180432895908,0.0,0.0,0.05333333333333334,0.05333333333333334
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_F,34410,0.0,1.0,0.04570257928491516,0.06154309568854867,0.029411764705882353,0.0,0.06666666666666667,0.06666666666666667
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_G,34410,0.0,1.0,0.076991164053904,0.0750670996381102,0.06666666666666667,0.0,0.1111111111111111,0.1111111111111111
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_H,34410,0.0,1.0,0.020554079717550085,0.04342993451074753,0.0,0.0,0.027777777777777776,0.027777777777777776
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_I,34410,0.0,0.6153846153846154,0.05955277572310146,0.06524837654994167,0.047619047619047616,0.0,0.08695652173913043,0.08695652173913043
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_K,34410,0.0,1.0,0.11549631863492206,0.11362079412086143,0.08823529411764706,0.03669724770642202,0.16,0.12330275229357798
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_L,34410,0.0,1.0,0.10613076381518297,0.10348939984281487,0.08333333333333333,0.03571428571428571,0.14705882352941177,0.11134453781512606
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_M,34410,0.0,0.6666666666666666,0.014261907929055682,0.027914791926498234,0.0,0.0,0.021739130434782608,0.021739130434782608
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_N,34410,0.0,0.5,0.030457244535083586,0.03965110989489623,0.014925373134328358,0.0,0.05263157894736842,0.05263157894736842
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_P,34410,0.0,1.0,0.0453985679310559,0.07347605467556612,0.02127659574468085,0.0,0.0625,0.0625
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_Q,34410,0.0,0.75,0.0252576072819205,0.039762604129854925,0.0,0.0,0.040983606557377046,0.040983606557377046
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_R,34410,0.0,1.0,0.08680518377499646,0.11265376047626227,0.05102040816326531,0.0,0.12087912087912088,0.12087912087912088
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_S,34410,0.0,0.75,0.04888666782689142,0.05511335829458924,0.041666666666666664,0.0,0.0784313725490196,0.0784313725490196
amp_vs_toxic_without_amp_evidence,1,amp_positive,amino_acid_composition,aa_fraction_T,34410,0.0,0.5,0.03611325277814759,0.04627745294833375,0.023255813953488372,0.0,0.05952380952380952,0.05952380952380952
