Partition,folder,k,Seed,Algorithm,AUPRC train,AUPRC val,AUPRC test
Cluster aware,cluster_aware_k400,400,seed_1,KNN,1.0,1.0,0.8517862568575594
Cluster aware,cluster_aware_k400,400,seed_1,Logistic Regression,0.8957915105761183,0.8066524015131278,0.8005979296019919
Cluster aware,cluster_aware_k400,400,seed_1,Random Forest,0.9999999999999999,1.0,0.8492322499808238
Cluster aware,cluster_aware_k400,400,seed_1,SVM,0.9319076433749691,0.8787478783603515,0.8598155707972907
Cluster aware,cluster_aware_k400,400,seed_5,KNN,1.0,1.0,0.807294775144628
Cluster aware,cluster_aware_k400,400,seed_5,Logistic Regression,0.8892293995349493,0.9294616666068293,0.8026550287874115
Cluster aware,cluster_aware_k400,400,seed_5,Random Forest,1.0,1.0,0.7997944021708698
Cluster aware,cluster_aware_k400,400,seed_5,SVM,0.9331298291950114,0.9508241836260801,0.8187544437140688
Cluster aware,cluster_aware_k400,400,seed_10,KNN,1.0,1.0,0.831348665382313
Cluster aware,cluster_aware_k400,400,seed_10,Logistic Regression,0.8836315836807187,0.9303108780304983,0.8233700557498639
Cluster aware,cluster_aware_k400,400,seed_10,Random Forest,1.0,1.0,0.837109356969316
Cluster aware,cluster_aware_k400,400,seed_10,SVM,0.9244324674644298,0.9580031045137148,0.8552690344112521
Cluster aware,cluster_aware_k400,400,seed_3,KNN,1.0,1.0,0.8442975359490924
Cluster aware,cluster_aware_k400,400,seed_3,Logistic Regression,0.8910205573274783,0.8443510797696201,0.8469614204677129
Cluster aware,cluster_aware_k400,400,seed_3,Random Forest,1.0,0.9999999999999999,0.859938347147449
Cluster aware,cluster_aware_k400,400,seed_3,SVM,0.9316917360924831,0.9329547609798637,0.8655830750982192
Cluster aware,cluster_aware_k400,400,seed_4,KNN,1.0,1.0,0.8112370535011082
Cluster aware,cluster_aware_k400,400,seed_4,Logistic Regression,0.9005138675094401,0.8815013713257289,0.7396028644946456
Cluster aware,cluster_aware_k400,400,seed_4,Random Forest,1.0,0.9999999999999999,0.8079194116353421
Cluster aware,cluster_aware_k400,400,seed_4,SVM,0.9351890264373854,0.9212314880010057,0.8123375085560018
Cluster aware,cluster_aware_k400,400,seed_6,KNN,1.0,1.0,0.8288517418594811
Cluster aware,cluster_aware_k400,400,seed_6,Logistic Regression,0.8897091490590268,0.8860586491505236,0.8361290148924715
Cluster aware,cluster_aware_k400,400,seed_6,Random Forest,0.9999999999999999,1.0,0.8374249236526443
Cluster aware,cluster_aware_k400,400,seed_6,SVM,0.9331960889480654,0.9242821558298422,0.852854966438777
Cluster aware,cluster_aware_k400,400,seed_9,KNN,1.0,1.0,0.8201217179045779
Cluster aware,cluster_aware_k400,400,seed_9,Logistic Regression,0.8884936851608417,0.9278394396671241,0.7862082894263427
Cluster aware,cluster_aware_k400,400,seed_9,Random Forest,1.0,1.0,0.8251785673319717
Cluster aware,cluster_aware_k400,400,seed_9,SVM,0.9306745536059841,0.9439664191854606,0.8305994254326925
Cluster aware,cluster_aware_k400,400,seed_8,KNN,1.0,1.0,0.8026536296807586
Cluster aware,cluster_aware_k400,400,seed_8,Logistic Regression,0.8897056971623003,0.9415680859941585,0.768233333786005
Cluster aware,cluster_aware_k400,400,seed_8,Random Forest,0.9999999999999999,0.9999999999999998,0.8025196648401364
Cluster aware,cluster_aware_k400,400,seed_8,SVM,0.9307522648882194,0.9460404083736267,0.8142350052757273
Cluster aware,cluster_aware_k400,400,seed_2,KNN,1.0,1.0,0.7871153019742052
Cluster aware,cluster_aware_k400,400,seed_2,Logistic Regression,0.8974801790634126,0.8899652021329396,0.7809548602068688
Cluster aware,cluster_aware_k400,400,seed_2,Random Forest,1.0,1.0,0.8104017530455161
Cluster aware,cluster_aware_k400,400,seed_2,SVM,0.9330973116974256,0.9406559973393956,0.81217743507798
Random,random,,seed_7,KNN,1.0,1.0,0.876147968558627
Random,random,,seed_7,Logistic Regression,0.8853199834640786,0.8990364675558102,0.8523859961992689
Random,random,,seed_7,Random Forest,1.0,0.9999999999999998,0.8905688678412005
Random,random,,seed_7,SVM,0.9295197715638461,0.9366708702209086,0.8831441024071129
Random,random,,seed_101,KNN,1.0,1.0,0.9073833963781196
Random,random,,seed_101,Logistic Regression,0.8826675028617885,0.8875532667817521,0.8771774142720046
Random,random,,seed_101,Random Forest,1.0,1.0,0.9130420915198465
Random,random,,seed_101,SVM,0.9261265526380434,0.9369735598125378,0.9131882561499418
Random,random,,seed_2024,KNN,1.0,1.0,0.8836631182744887
Random,random,,seed_2024,Logistic Regression,0.8886024680375888,0.8676458837992791,0.849418782288246
Random,random,,seed_2024,Random Forest,0.9999999999999999,1.0,0.884451185657561
Random,random,,seed_2024,SVM,0.9309400323061197,0.9343899404448516,0.8840856455352812
Random,random,,seed_1,KNN,1.0,1.0,0.8960740831370988
Random,random,,seed_1,Logistic Regression,0.8858169690692816,0.8851651373939331,0.8565645135958065
Random,random,,seed_1,Random Forest,1.0,1.0,0.9029267196281835
Random,random,,seed_1,SVM,0.9303458692877901,0.9281963864610776,0.8941470807781936
Random,random,,seed_13,KNN,1.0,1.0,0.8718603987453128
Random,random,,seed_13,Logistic Regression,0.8858006825674285,0.8932727272199744,0.8515203195849992
Random,random,,seed_13,Random Forest,0.9999999999999999,0.9999999999999999,0.8842779077838315
Random,random,,seed_13,SVM,0.9304123038469034,0.9324859356152421,0.8723310002704998
Random,random,,seed_42,KNN,1.0,1.0,0.8883565790401187
Random,random,,seed_42,Logistic Regression,0.8868912975218256,0.8724309855035185,0.8586731161263799
Random,random,,seed_42,Random Forest,0.9999999999999999,1.0,0.8902175430089411
Random,random,,seed_42,SVM,0.9299939747044589,0.9286461125078652,0.8876536263386613
Random,random,,seed_1337,KNN,1.0,1.0,0.8946462111191538
Random,random,,seed_1337,Logistic Regression,0.886835430780973,0.8862521205863552,0.8485448326265891
Random,random,,seed_1337,Random Forest,1.0,1.0,0.8842416696636833
Random,random,,seed_1337,SVM,0.9296637512599788,0.9402319393031071,0.8814140557924623
Random,random,,seed_77,KNN,1.0,1.0,0.8842449026793238
Random,random,,seed_77,Logistic Regression,0.8829624542930509,0.8960298441730672,0.8684856621006974
Random,random,,seed_77,Random Forest,1.0,1.0,0.9028378619208732
Random,random,,seed_77,SVM,0.928948442189141,0.9429842784340142,0.8954409384817749
Random,random,,seed_21,KNN,1.0,1.0,0.8794970178960153
Random,random,,seed_21,Logistic Regression,0.8869505237184199,0.8782609678220117,0.8536236454954623
Random,random,,seed_21,Random Forest,1.0,1.0,0.8816428252780282
Random,random,,seed_21,SVM,0.9318061159283334,0.920363312527711,0.8745999145438731
Random,random,,seed_9001,KNN,1.0,1.0,0.9009327865218554
Random,random,,seed_9001,Logistic Regression,0.8856141737530184,0.8622144155646334,0.8757728525142381
Random,random,,seed_9001,Random Forest,1.0,0.9999999999999999,0.907661346426681
Random,random,,seed_9001,SVM,0.9305785417005299,0.9218831707991837,0.9012433932521395
Cluster aware,cluster_aware_k100,100,seed_7,KNN,1.0,1.0,0.883843489369052
Cluster aware,cluster_aware_k100,100,seed_7,Logistic Regression,0.8670782071621523,0.9036516736769546,0.8940409082066809
Cluster aware,cluster_aware_k100,100,seed_7,Random Forest,1.0,1.0,0.9031160622000631
Cluster aware,cluster_aware_k100,100,seed_7,SVM,0.9160312197390666,0.9527431276143066,0.9035030825741155
Cluster aware,cluster_aware_k100,100,seed_1,KNN,1.0,1.0,0.8616971633735628
Cluster aware,cluster_aware_k100,100,seed_1,Logistic Regression,0.8726418483950898,0.9363292304319869,0.8502928075607182
Cluster aware,cluster_aware_k100,100,seed_1,Random Forest,1.0,1.0,0.8663397690551174
Cluster aware,cluster_aware_k100,100,seed_1,SVM,0.9181278309339744,0.9734399917647385,0.8643119065883502
Cluster aware,cluster_aware_k100,100,seed_5,KNN,1.0,1.0,0.8195509941849981
Cluster aware,cluster_aware_k100,100,seed_5,Logistic Regression,0.8815178233090202,0.9142425008564186,0.8309949901156496
Cluster aware,cluster_aware_k100,100,seed_5,Random Forest,1.0,1.0,0.8531411850782711
Cluster aware,cluster_aware_k100,100,seed_5,SVM,0.9275126333097966,0.9325923574645896,0.864936379803121
Cluster aware,cluster_aware_k100,100,seed_10,KNN,1.0,1.0,0.8735760552855617
Cluster aware,cluster_aware_k100,100,seed_10,Logistic Regression,0.8849680861606802,0.8225567661786714,0.852134366986887
Cluster aware,cluster_aware_k100,100,seed_10,Random Forest,1.0,0.9999999999999999,0.8792371426988083
Cluster aware,cluster_aware_k100,100,seed_10,SVM,0.9306639003014001,0.8969673079021137,0.8828946428673807
Cluster aware,cluster_aware_k100,100,seed_3,KNN,1.0,1.0,0.8511202683584878
Cluster aware,cluster_aware_k100,100,seed_3,Logistic Regression,0.8814586834795003,0.891901673937791,0.8534470784246732
Cluster aware,cluster_aware_k100,100,seed_3,Random Forest,1.0,1.0,0.8521997857655834
Cluster aware,cluster_aware_k100,100,seed_3,SVM,0.9298703465337168,0.9435795561564245,0.863748089587998
Cluster aware,cluster_aware_k100,100,seed_4,KNN,1.0,1.0,0.8968517175035293
Cluster aware,cluster_aware_k100,100,seed_4,Logistic Regression,0.8747632905136747,0.8798420568488634,0.8826613718165662
Cluster aware,cluster_aware_k100,100,seed_4,Random Forest,1.0,1.0,0.9097336251818926
Cluster aware,cluster_aware_k100,100,seed_4,SVM,0.9222890047299761,0.939936484847661,0.9101565121775013
Cluster aware,cluster_aware_k100,100,seed_6,KNN,1.0,1.0,0.8770792505672547
Cluster aware,cluster_aware_k100,100,seed_6,Logistic Regression,0.8804273660577692,0.8795329505329126,0.84045323442218
Cluster aware,cluster_aware_k100,100,seed_6,Random Forest,1.0,0.9999999999999999,0.8936145837714904
Cluster aware,cluster_aware_k100,100,seed_6,SVM,0.928083147536164,0.9267662901572115,0.8898425584014498
Cluster aware,cluster_aware_k100,100,seed_9,KNN,1.0,1.0,0.8154112034980192
Cluster aware,cluster_aware_k100,100,seed_9,Logistic Regression,0.8809015678875229,0.8975161605182284,0.8219123700021179
Cluster aware,cluster_aware_k100,100,seed_9,Random Forest,1.0,1.0,0.8510490243840447
Cluster aware,cluster_aware_k100,100,seed_9,SVM,0.9222239075383312,0.968366767168597,0.8501215690823575
Cluster aware,cluster_aware_k100,100,seed_8,KNN,1.0,1.0,0.7925764001702338
Cluster aware,cluster_aware_k100,100,seed_8,Logistic Regression,0.9031409804250025,0.8532534154323751,0.7575926971241872
Cluster aware,cluster_aware_k100,100,seed_8,Random Forest,1.0,1.0,0.7961567065045194
Cluster aware,cluster_aware_k100,100,seed_8,SVM,0.9333110535076149,0.9055298743301349,0.8099872120022398
Cluster aware,cluster_aware_k100,100,seed_2,KNN,1.0,1.0,0.7831405072341462
Cluster aware,cluster_aware_k100,100,seed_2,Logistic Regression,0.8953476644364592,0.9122173830244964,0.76857779219138
Cluster aware,cluster_aware_k100,100,seed_2,Random Forest,1.0,1.0,0.7966173487320957
Cluster aware,cluster_aware_k100,100,seed_2,SVM,0.9375901780036692,0.9318633971936585,0.8071767026268446
Stratified,stratified,,seed_7,KNN,1.0,1.0,0.8919667414192117
Stratified,stratified,,seed_7,Logistic Regression,0.8823388738651112,0.9021973379951167,0.8640797923175643
Stratified,stratified,,seed_7,Random Forest,1.0,1.0,0.8951516518511777
Stratified,stratified,,seed_7,SVM,0.9309798538242817,0.9306417040408493,0.8799325755583435
Stratified,stratified,,seed_101,KNN,1.0,1.0,0.9011824362566638
Stratified,stratified,,seed_101,Logistic Regression,0.886274222647876,0.8778761040945364,0.8639928487311648
Stratified,stratified,,seed_101,Random Forest,1.0,1.0,0.9079770727431915
Stratified,stratified,,seed_101,SVM,0.9283436887817186,0.9288531410946023,0.9097180062953323
Stratified,stratified,,seed_2024,KNN,1.0,1.0,0.8899933533056521
Stratified,stratified,,seed_2024,Logistic Regression,0.8861553059996221,0.9015150782267172,0.839982710018856
Stratified,stratified,,seed_2024,Random Forest,0.9999999999999999,1.0,0.8988158538998611
Stratified,stratified,,seed_2024,SVM,0.928903580519591,0.941511963361729,0.88677398415996
Stratified,stratified,,seed_1,KNN,1.0,1.0,0.9036875172411113
Stratified,stratified,,seed_1,Logistic Regression,0.884289963166742,0.8835326072353623,0.8715707732123938
Stratified,stratified,,seed_1,Random Forest,1.0,1.0,0.8969360502053805
Stratified,stratified,,seed_1,SVM,0.92874181093551,0.9367065915483402,0.8952615725314891
Stratified,stratified,,seed_13,KNN,1.0,1.0,0.8911408295903256
Stratified,stratified,,seed_13,Logistic Regression,0.8872780925481089,0.8670240164331984,0.8627933156141554
Stratified,stratified,,seed_13,Random Forest,1.0,1.0,0.8854716387854079
Stratified,stratified,,seed_13,SVM,0.9327129323365042,0.9052315948853034,0.8941728882363845
Stratified,stratified,,seed_42,KNN,1.0,1.0,0.9043354816233429
Stratified,stratified,,seed_42,Logistic Regression,0.8836445374670475,0.8838504965496112,0.871083244881556
Stratified,stratified,,seed_42,Random Forest,1.0,0.9999999999999999,0.9124170383562076
Stratified,stratified,,seed_42,SVM,0.9275652916186554,0.9347103382615318,0.9060207910541456
Stratified,stratified,,seed_1337,KNN,1.0,1.0,0.8988359333413044
Stratified,stratified,,seed_1337,Logistic Regression,0.8853065296588765,0.8880219546817036,0.8527268666214599
Stratified,stratified,,seed_1337,Random Forest,1.0,1.0,0.9092854328005138
Stratified,stratified,,seed_1337,SVM,0.9278833308181107,0.9305916662708787,0.9128191277062898
Stratified,stratified,,seed_77,KNN,1.0,1.0,0.865703723818794
Stratified,stratified,,seed_77,Logistic Regression,0.8878943647656647,0.8871119436308811,0.8297663938434366
Stratified,stratified,,seed_77,Random Forest,0.9999999999999999,1.0,0.8633807303223283
Stratified,stratified,,seed_77,SVM,0.9333169009285789,0.9259836327344594,0.8512183464618024
Stratified,stratified,,seed_21,KNN,1.0,1.0,0.8998749519289249
Stratified,stratified,,seed_21,Logistic Regression,0.8835601777681744,0.896097979147946,0.8556670613453676
Stratified,stratified,,seed_21,Random Forest,0.9999999999999999,1.0,0.9010612247672403
Stratified,stratified,,seed_21,SVM,0.9287899799995357,0.9408785253589472,0.8864937236651921
Stratified,stratified,,seed_9001,KNN,1.0,1.0,0.9124260181320546
Stratified,stratified,,seed_9001,Logistic Regression,0.8864367311418272,0.8525419918730145,0.8801904664149908
Stratified,stratified,,seed_9001,Random Forest,1.0,0.9999999999999999,0.9184193306132893
Stratified,stratified,,seed_9001,SVM,0.9290573367655036,0.9199765826054719,0.9217054765102483
Cluster aware,cluster_aware_k500,500,seed_7,KNN,1.0,1.0,0.845473467027418
